Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas acuta,Linnaeus,1758,Accepted as,Anas acuta,"?????? ???? (Halder, 2010)","Northern Pintail, Pintail",56-74,Ducks,Dabbling Duck,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 30; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas acuta acuta,Linnaeus,1758,Synonym for,Anas acuta,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas anser,Linnaeus,1758,Synonym for,Anser anser,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas bicolor,Vieillot,1816,Synonym for,Dendrocygna bicolor,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas boschas,Linnaeus,1758,Synonym for,Anas platyrhynchos,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas clypeata,Linnaeus,1758,Synonym for,Spatula clypeata,,,,,,,,,GBIF (2018); Halder (2010). p 30; Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas crecca,Linnaeus,1758,Accepted as,Anas crecca,"?????? ???? (Halder, 2010)","Common Teal, Eurasian Teal",38,Ducks,Dabbling Duck,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 31; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas falcata,Georgi,1775,Synonym for,Mareca falcata,,,,,,,,,GBIF (2018); Halder (2010). p 31; Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas ferina,Linnaeus,1758,Synonym for,Aythya ferina,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas ferruginea,Pallas,1764,Synonym for,Tadorna ferruginea,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas fuligula,Linnaeus,1758,Synonym for,Aythya fuligula,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas galericulata,Linnaeus,1758,Synonym for,Aix galericulata,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Anas,Linnaeus,Anas indicus,Latham,1790,Synonym for,Anser indicus,,,,,,,,,GBIF (2018)
