Kingdom,Phylum,Class,Order,Family,Author,Genus,Author,Scientific Name,Author,Year,Status,Accepted as,Bengali Name,English Name,Size (cm),Common Family,Common Group,Habit,Conservation Status,Distribution in Bengal,References
Animalia,Chordata,Aves,Strigiformes,Strigidae,Leach,Bubo,Duméril,Bubo nipalensis,Hodgson,1836,Accepted as,Bubo nipalensis,"?????? ?????????? (Halder, 2010)","Spot-bellied Eagle Owl, Forest Eagle Owl",63,Owl,Horned Owl,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 123; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Bubulcus,Bonaparte,Bubulcus coromandus,Boddaert,1783,Accepted as,Bubulcus coromandus,"??-?? (Halder, 2010)","Cattle Egret, Eastern Cattle Egret",51,Bitterns,Cattle Egret,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Bubulcus,Bonaparte,Bubulcus ibis coromandus,Boddaert,1783,Synonym for,Bubulcus coromandus,,,,,,,,,GBIF (2018); Halder (2010). p 14
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Buphus,F. Boie,Buphus bacchus,Bonaparte,1855,Synonym for,Ardeola bacchus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Mathews,Burhinus,Illiger,Burhinus indicus,Salvadori,1865,Accepted as,Burhinus indicus,"??? ????????? (Halder, 2010)","Indian Stone-curlew, Indian Thick-knee",40-44,Stone Curlew,Thick Knee,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Mathews,Burhinus,Illiger,Burhinus oedicnemus,Linnaeus,1758,Accepted as,Burhinus oedicnemus,???? ?????,"Eurasian Stone Curlew, Eurasian Thick-knee",40-44,Stone Curlew,Thick Knee,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Chowdhury (2011). p 36; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Mathews,Burhinus,Illiger,Burhinus oedicnemus indicus,Linnaeus,1758,Synonym for,Burhinus indicus,,,,,,,,,GBIF (2018); Halder (2010). p 44; Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Burhinidae,Mathews,Burhinus,Illiger,Burhinus recurvirostris,Cuvier,1829,Synonym for,Esacus recurvirostris,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Butastur,Hodgson,Butastur teesa,Franklin,1831,Accepted as,Butastur teesa,"??????? ??????? (Halder, 2010)",White-eyed Buzzard,43,Eagles,Buzzard,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 79; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Buteo,Lacépède,Buteo buteo,Linnaeus,1758,Accepted as,Buteo buteo,"???? ??????? (Halder, 2010)","Buzzard, Common Buzzard, Eurasian Buzzard",54,Eagles,Hawk,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 80; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Buteo,Lacépède,Buteo ferox,Gmelin,1771,Synonym for,Buteo rufinus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Buteo,Lacépède,Buteo rufinus,Cretzschmar,1829,Accepted as,Buteo rufinus,"?????-?? ??????? (Halder, 2010)",Long-legged Buzzard,61,Eagles,Hawk,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 80; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Butorides,Blyth,Butorides striata,Linnaeus,1758,Accepted as,Butorides striata,"???? ?? (Halder, 2010)","Green-backed Heron, Little Heron, Striated Heron, Mangrove Heron",44,Bitterns,Small Heron,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 16; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cacomantis,S. Müller,Cacomantis merulinus,Scopoli,1786,Accepted as,Cacomantis merulinus,"?????? ????? (Halder, 2010)",Plaintive Cuckoo,23,Anis,Bar-taild Cuckoo,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 112; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cacomantis,S. Müller,Cacomantis sonneratii,Latham,1790,Accepted as,Cacomantis sonneratii,"???? ?????? (Halder, 2010)","Banded Bay Cuckoo, Bay-banded Cuckoo",24,Anis,Bar-taild Cuckoo,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 113; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris alba,Pallas,1764,Accepted as,Calidris alba,"???????? (Halder, 2010)",Sanderling,19,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 24; GBIF (2018); Halder (2010). p 63; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris alpina,Linnaeus,1758,Accepted as,Calidris alpina,"??? ???????? ????? (Halder, 2010)",Dunlin,16-22,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 29; GBIF (2018); Halder (2010). p 57; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris canutus,Linnaeus,1758,Accepted as,Calidris canutus,"????? (Halder, 2010)","Red Knot, Knot",24,Sandpipers,,Migratory,NT,Bangladesh,BLI (2018); Chowdhury (2011). p 23; GBIF (2018); Halder (2010). p 64; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris cooperi,Baird,1858,Synonym for,Calidris ferruginea,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris falcinellus,Pontoppidan,1763,Accepted as,Calidris falcinellus,"????????? ????? (Halder, 2010)",Broad-billed Sandpiper,16-18,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris falcinellus sibirica,Pontoppidan,1763,Synonym for,Calidris falcinellus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris ferruginea,Pontoppidan,1763,Accepted as,Calidris ferruginea,"???????? ????? (Halder, 2010)",Curlew Sandpiper,18-23,Sandpipers,,Migratory,NT,Bangladesh,BLI (2018); Chowdhury (2011). p 30; GBIF (2018); Halder (2010). p 57; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris minuta,Leisler,1812,Accepted as,Calidris minuta,"??? ???? (Halder, 2010)",Little Stint,13,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 25; GBIF (2018); Halder (2010). p 62; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris pugnax,Linnaeus,1758,Accepted as,Calidris pugnax,"?????? ????? (Halder, 2010)",Ruff,25-31,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris pygmaea,Linnaeus,1758,Synonym for,Calidris pygmea,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris pygmea,Linnaeus,1758,Accepted as,Calidris pygmea,"????????? ????? (Halder, 2010)",Spoon-billed Sandpiper,14-16,Sandpipers,,Migratory,CR,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris pygmeus,Linnaeus,1758,Synonym for,Calidris pygmea,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris ruficollis,Pallas,1776,Accepted as,Calidris ruficollis,"?????? ???? (Halder, 2010)",Red-necked Stint,13-16,Sandpipers,,Migratory,NT,Bangladesh,BLI (2018); Chowdhury (2011). p 26; GBIF (2018); Halder (2010). p 62; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris subminuta,Middendorff,1853,Accepted as,Calidris subminuta,???? ?????,Long-toed Stint,13-15,Sandpipers,,Migratory,LC,Bangladesh (Coastal Zone),BLI (2018); Chowdhury (2011). p 28; GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris temminckii,Leisler,1812,Accepted as,Calidris temminckii,"???????? ???? (Halder, 2010)",Temmink's Stint,14,Sandpipers,,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 27; GBIF (2018); Halder (2010). p 63; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Calidris,Merrem,Calidris tenuirostris,Horsfield,1821,Accepted as,Calidris tenuirostris,"???? (Halder, 2010)",Great Knot,27,Sandpipers,,Migratory,EN,Bangladesh,BLI (2018); Chowdhury (2011). p 22; GBIF (2018); Halder (2010). p 64; Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Capella,Frenzel,Capella gallinago,Linnaeus,1758,Synonym for,Gallinago gallinago,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Vigors,Caprimulgus,Linnaeus,Caprimulgus macrurus,Horsfield,1821,Accepted as,Caprimulgus macrurus,"????????? ?????? (Halder, 2010)",Large-tailed Nightjar,30,Nightjar,,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 117; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Anseriformes,Anatidae,Leach,Casarca,Bonaparte,Casarca ferruginea,Pallas,1764,Synonym for,Tadorna ferruginea,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Leach,Casmerodius,Gloger,Casmerodius albus,Linnaeus,1758,Synonym for,Ardea alba,,,,,,,,,GBIF (2018); Halder (2010). p 13
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Rafinesque,Cecropis,F. Boie,Cecropis daurica,Laxmann,1769,Accepted as,Cecropis daurica,"???-???? ?????? (Halder, 2010)",Red-rumped Swallow,19,Swallow,,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Rafinesque,Cecropis,F. Boie,Cecropis daurica,Linnaeus,1771,Synonym for,Cecropis daurica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Horsfield,Centropus,Illiger,Centropus bengalensis,Gmelin,1788,Accepted as,Centropus bengalensis,"??? ?????? (Halder, 2010)",Lesser Coucal,33,Anis,Coucal,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 116; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Horsfield,Centropus,Illiger,Centropus sinensis,Stephens,1815,Accepted as,Centropus sinensis,"?? ?????? (Halder, 2010)",Greater Coucal,48,Anis,Coucal,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 116; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Cerchneis,F. Boie,Cerchneis tinnunculus,Linnaeus,1758,Synonym for,Falco tinnunculus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Ceyx,Lacépède,Ceyx erithaca,Linnaeus,1758,Accepted as,Ceyx erithaca,"???? ??????? (Halder, 2010)","Oriental Dwarf Kingfisher, Black-backed Dwarf Kingfisher, Black-backed Kingfisher, Three-toed Kingfisher",13,Kingfisher,River Kingfisher,Vagrant,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 131; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Ceyx,Lacépède,Ceyx microsoma,Burton,1837,Synonym for,Ceyx erithaca,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Ceyx,Lacépède,Ceyx rufidorsa,Strickland,1847,Synonym for,Ceyx erithaca,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Rafinesque,Ceyx,Lacépède,Ceyx tridactylus,Pallas,1769,Synonym for,Ceyx erithaca,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Chalcophaps,Gould,Chalcophaps indica,Linnaeus,1758,Accepted as,Chalcophaps indica,"?????????? (Halder, 2010)","Asian Emerald Dove, Common Emerald Dove, Emerald Dove, Grey-capped Emerald Dove",27,Doves,Small Dove,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 105; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadarius,Linnaeus,Charadarius squatarola,Linnaeus,1758,Synonym for,Pluvialis squatarola,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius alexandrinus,Linnaeus,1758,Accepted as,Charadrius alexandrinus,"??????? ?????? (Halder, 2010)","Kentish Plover, Snowy Plover",15-17,Plovers,Plover,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 48; GBIF (2018); Halder (2010). p 50; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius calidris,Linnaeus,1766,Synonym for,Calidris alba,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius cantianus,Latham,1801,Synonym for,Charadrius alexandrinus,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius dubius,Scopoli,1786,Accepted as,Charadrius dubius,"??? ???????? (Halder, 2010)",Little Ringed Plover,17-21,Plovers,Plover,Resident,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 47; GBIF (2018); Halder (2010). p 50; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius duvaucelii ,Lesson,1826,Synonym for,Vanellus duvaucelii,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius elegans,Reichenow,1904,Synonym for,Charadrius alexandrinus,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius fulvus,Gmelin,1789,Synonym for,Pluvialis fulva,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius himantopus,Linnaeus,1758,Synonym for,Himantopus himantopus,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius leschenaultii,Lesson,1826,Accepted as,Charadrius leschenaultii,"?? ????????? (Halder, 2010)","Greater Sand Plover, Greater Sandplover, Large Sand Dotterel",22-25,Plovers,Plover,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 50; GBIF (2018); Halder (2010). p 49; IUCN (2018); Wikipedia (2011)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius malabaricus,Boddaert,1783,Synonym for,Vanellus malabaricus,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius mongolus,Pallas,1776,Accepted as,Charadrius mongolus,"??? ????????? (Halder, 2010)","Lesser Sand Plover, Lesser Sandplover, Mongolian Dotterel, Mongolian Plover",19-21,Plovers,Plover,Migratory,LC,Bangladesh,BLI (2018); Chowdhury (2011). p 49; GBIF (2018); Halder (2010). p 49; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius oedicnemus,Linnaeus,1758,Synonym for,Burhinus oedicnemus,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Charadrius,Linnaeus,Charadrius squatarola,Linnaeus,1758,Synonym for,Pluvialis squatarola,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Leach,Chardrius,Linnaeus,Chardrius dubius,Scopoli,1786,Synonym for,Charadrius dubius,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Rafinesque,Chelidon,Forster,Chelidon rustica,Linnaeus,1758,Synonym for,Hirundo rustica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Falconiformes,Falconidae,Leach,Chicquera,Lesson,Chicquera typus,Bonaparte,1854,Synonym for,Falco chicquera,,,,,,,,,Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Chlidonias,Rafinesque,Chlidonias hybrida,Pallas,1811,Accepted as,Chlidonias hybrida,"????? ?????? (Halder, 2010)",Whiskered Tern,25,Gulls,Tern,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 71; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Chlidonias,Rafinesque,Chlidonias hybrida delalandii,Mathews,1912,Synonym for,Chlidonias hybrida,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Chlidonias,Rafinesque,Chlidonias hybrida hybrida,Pallas,1811,Synonym for,Chlidonias hybrida,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Chlidonias,Rafinesque,Chlidonias hybrida javanicus,Horsfield,1821,Synonym for,Chlidonias hybrida,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Chroicocephalus,Eyton,Chroicocephalus brunnicephalus,Jerdon,1840,Accepted as,Chroicocephalus brunnicephalus,"???????? ?????? (Halder, 2010)",Brown-headed Gull,42,Gulls,Small Gull,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rafinesque,Chroicocephalus,Eyton,Chroicocephalus ridibundus,Linnaeus,1766,Accepted as,Chroicocephalus ridibundus,"???????? ?????? (Halder, 2010)",Black-headed Gull,38,Gulls,Small Gull,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Chrysococcyx,F. Boie,Chrysococcyx maculatus,Gmelin,1788,Accepted as,Chrysococcyx maculatus,"???? ???????????? (Halder, 2010)",Asian Emerald Cuckoo,18,Anis,Gold Cuckoo,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 109; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Chrysococcyx,F. Boie,Chrysococcyx xanthorhynchus,Horsfield,1821,Accepted as,Chrysococcyx xanthorhynchus,"?????? ?????? (Halder, 2010)",Violet Cuckoo,17,Anis,Gold Cuckoo,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 109; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,GR Gray,Ciconia,Brisson,Ciconia episcopus,Boddaert,1783,Accepted as,Ciconia episcopus,"??????? ???????? (Halder, 2010)","Wooly-necked Stork, Whitenecked stork, Asian Woollyneck",83,Storks,,Vagrant,VU,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 21; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,GR Gray,Ciconia,Brisson,Ciconia javanica,Horsfield,1821,Synonym for,Leptoptilos javanicus,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,GR Gray,Ciconia,Brisson,Ciconia nigra,Linnaeus,1758,Accepted as,Ciconia nigra,"???? ???????? (Halder, 2010)",Black Stork,98,Storks,,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Circaetus,Vieillot,Circaetus gallicus,Gmelin,1788,Accepted as,Circaetus gallicus,"???????? (Halder, 2010)","Short-toed Snake Eagle, Short-toed Eagle",66,Eagles,Snake Eagle,Vagrant,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 87; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Circus,Lacépède,Circus aeruginosus,Linnaeus,1758,Accepted as,Circus aeruginosus,"??????? ????????? (Halder, 2010)","Eurasian Marsh Harrier, Marsh Harrier, Western Marsh Harrier",54-56,Eagles,Harrier,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 91; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Circus,Lacépède,Circus cyaneus,Linnaeus,1766,Accepted as,Circus cyaneus,"????? ?????? (Halder, 2010)",Hen Harrier,50,Eagles,Harrier,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 92; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Circus,Lacépède,Circus melanoleucos,Pennant,1769,Accepted as,Circus melanoleucos,"????? ?????? (Halder, 2010)",Pied Harrier,48,Eagles,Harrier,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 91; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Clamator,Kaup,Clamator coromandus,Linnaeus,1766,Accepted as,Clamator coromandus,"??????-???? ?????? (Halder, 2010)","Chestnut-winged Cuckoo, Red-winged Crested Cuckoo",42,Anis,Crested Cuckoo,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 114; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Clamator,Kaup,Clamator jacobinus,Boddaert,1783,Accepted as,Clamator jacobinus,"?????? (Halder, 2010)","Jacobin Cuckoo, Pied Cuckoo, Pied Crested Cuckoo",31,Anis,Crested Cuckoo,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 114; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Clanga,Adamowicz,Clanga clanga,Pallas,1811,Accepted as,Clanga clanga,"?? ?????? ??? (Halder, 2010)","Greater Spotted Eagle, Spotted Eagle",67,Eagles,Spotted Eagle,Migratory,VU,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Vieillot,Clanga,Adamowicz,Clanga hastata,Lesson,1834,Accepted as,Clanga hastata,"??? ?????? ??? (Halder, 2010)",Indian Spotted Eagle,64,Eagles,Spotted Eagle,Resident,VU,Bangladesh,BLI (2018); GBIF (2018); IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Columba,Linnaeus,Columba aenea,Linnaeus,1766,Synonym for,Ducula aenea,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Columba,Linnaeus,Columba decaocto,Frivaldszky,1838,Synonym for,Streptopelia decaocto,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Columba,Linnaeus,Columba indica,Linnaeus,1758,Synonym for,Chalcophaps indica,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Columba,Linnaeus,Columba livia intermedia,Strickland,1844,Accepted as,Columba livia intermedia,"?????? ????? (Halder, 2010), ???? ????? (Halder, 2010)","Rock Dove, Rock DoveI, Rock Pigeon, Common Pigeon",33,Doves,Typical Pigeon,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 98; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Columba,Linnaeus,Columba orientalis,Latham,1790,Synonym for,Streptopelia orientalis,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Columbiformes,Columbidae,Leach,Columba,Linnaeus,Columba senegalensis,Linnaeus,1766,Synonym for,Spilopelia senegalensis,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Gaviiformes,Gaviidae,Coues,Colymbus,Linnaeus,Colymbus ruficollis,Pallas,1764,Synonym for,Tachybaptus ruficollis,,,,,,,,,GBIF (2018)
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Rafinesque,Coracias,Linnaeus,Coracias benghalensis,Linnaeus,1758,Accepted as,Coracias benghalensis,"??????? (Halder, 2010)",Indian Roller,31,Roller,Roller,Resident,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 129; IUCN (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Coraciiformes,Coraciidae,Rafinesque,Coracias,Linnaeus,Coracias orientalis,Linnaeus,1776,Synonym for,Eurystomus orientalis,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Passeriformes,Corvidae,Leach,Corvus,Linnaeus,Corvus benghalensis,Linnaeus,1758,Synonym for,Coracias benghalensis,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Rafinesque,Crocethia,Billberg,Crocethia alba,Pallas,1764,Synonym for,Calidris alba,,,,,,,,,GBIF (2018); Wikipedia (2018)
Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Leach,Cuculus,Linnaeus,Cuculus canorus,Linnaeus,1758,Accepted as,Cuculus canorus,"??????? ?????? (Halder, 2010)","Common Cuckoo, Eurosian Cuckoo, Cuckoo, European Cuckoo",33,Anis,Common Cuckoo,Migratory,LC,Bangladesh,BLI (2018); GBIF (2018); Halder (2010). p 111; IUCN (2018); Wikipedia (2018)
